wave,flux
3569.4384765625,0.26162922
3570.26171875,0.25778997
3571.0830078125,0.16627674
3571.90649414062,0.051586688
3572.72827148437,0.1058638
3573.55200195312,0.019777944
3574.3740234375,0.040957633
3575.1962890625,0.0524182
3576.02075195312,0.05672177
3576.84350585937,0.08696003
3577.66821289063,0.07154707
3578.49145507812,0.024311787
3579.31665039062,0.08076671
3580.13989257813,0.0925041
3580.96362304687,0.08975178
3581.78930664062,0.13108954
3582.61328125,0.1515733
3583.439453125,0.17834353
3584.26391601562,0.22927506
3585.09033203125,0.17796575
3585.9150390625,0.19363831
3586.73999023437,0.29097798
3587.56713867187,0.19325556
3588.39233398437,0.16637729
3589.21997070312,0.14942116
3590.04565429687,0.2023551
3590.87353515625,0.2393128
3591.69946289063,0.21371801
3592.52587890625,0.21643247
3593.35424804688,0.16032776
3594.18090820312,0.11151328
3595.009765625,0.05331015
3595.83666992188,0.03897665
3596.666015625,0.077884845
3597.49340820313,0.08619048
3598.32080078125,0.11162107
3599.15063476562,0.11397602
3599.97875976563,0.061721463
3600.80883789062,0.06584142
3601.63720703125,0.14672603
3602.4677734375,0.17027706
3603.29638671875,0.25196394
3604.12524414062,0.28003684
3604.95654296875,0.2893345
3605.78588867188,0.3585285
3606.6171875,0.42512715
3607.44702148437,0.36615804
3608.27880859375,0.45957413
3609.10888671875,0.43508154
3609.93920898437,0.34442127
3610.77172851562,0.279338
3611.60229492187,0.2607404
3612.43505859375,0.25660074
3613.26611328125,0.25147733
3614.09936523438,0.3157005
3614.9306640625,0.31197375
3615.76245117187,0.32788786
3616.59619140625,0.38984412
3617.42822265625,0.31810978
3618.26245117187,0.2983223
3619.0947265625,0.33276427
3619.92919921875,0.3405608
3620.76196289062,0.33398062
3621.59692382812,0.36375892
3622.43017578125,0.41787115
3623.26342773438,0.40943086
3624.09887695312,0.3991419
3624.9326171875,0.42096448
3625.7685546875,0.41010156
3626.60278320313,0.3460961
3627.43896484375,0.3360696
3628.2734375,0.40939432
3629.10815429687,0.33177435
3629.94506835937,0.24760611
3630.78002929687,0.20972076
3631.61743164062,0.14427511
3632.45288085937,0.019072251
3633.29028320312,-0.019750707
3634.12622070312,-0.021863798
3634.96215820312,-0.007386157
3635.80053710937,0.003665616
3636.63696289063,0.0036958922
3637.4755859375,-0.001109633
3638.31225585937,-0.037733953
3639.1513671875,0.03533182
3639.98852539062,0.07103995
3640.82592773437,0.07024025
3641.66528320312,0.10834517
3642.50317382812,0.18390165
3643.34301757812,0.31016552
3644.18115234375,0.31408495
3645.021484375,0.30378288
3645.86010742187,0.33898962
3646.69897460938,0.3689412
3647.53979492187,0.32751003
3648.37890625,0.27282336
3649.22021484375,0.21717381
3650.0595703125,0.20364514
3650.9013671875,0.22216193
3651.7412109375,0.2478666
3652.58129882812,0.2814756
3653.42358398438,0.2897476
3654.26416015625,0.2059324
3655.10668945312,0.11122137
3655.94750976562,0.062116276
3656.79077148437,0.04841141
3657.6318359375,0.030287135
3658.47338867187,0.02434688
3659.31689453125,0.11171033
3660.15869140625,0.11145944
3661.0029296875,0.07703286
3661.84497070312,0.11976614
3662.689453125,0.16848093
3663.53198242187,0.19735433
3664.37475585937,0.19613947
3665.2197265625,0.24694715
3666.06298828125,0.27632317
3666.90844726562,0.23915367
3667.751953125,0.24651068
3668.59765625,0.21682307
3669.44165039062,0.14634174
3670.28588867187,0.076853186
3671.13208007812,0.03067771
3671.97680664062,0.015359673
3672.82348632812,0.026006844
3673.66845703125,0.012027605
3674.515625,0.034704886
3675.36083984375,0.0027695824
3676.20629882812,-0.015668044
3677.05419921875,0.02567686
3677.89990234375,0.01902781
3678.748046875,0.094282195
3679.59448242188,0.11005906
3680.44287109375,0.09451268
3681.28955078125,0.080167234
3682.13647460938,0.074697115
3682.98559570312,0.07858423
3683.83276367187,0.04627216
3684.68237304688,0.06999293
3685.53002929688,0.06308377
3686.3798828125,0.069509976
3687.22778320312,0.1095635
3688.078125,0.059248835
3688.92651367188,0.05045233
3689.77514648437,0.067627996
3690.6259765625,0.11963719
3691.47509765625,0.1413584
3692.32641601562,0.09793307
3693.17578125,0.06551809
3694.02734375,0.038863912
3694.87719726563,0.050686333
3695.72729492188,0.08468802
3696.57934570312,0.09566246
3697.42993164063,0.068922564
3698.28247070313,0.0467542
3699.13330078125,0.04099674
3699.986328125,0.007835284
3700.83740234375,0.014667409
3701.68872070312,0.031258408
3702.54248046875,0.013991531
3703.39428710937,0.016209729
3704.24829101563,0.030977026
3705.10034179687,0.020454274
3705.95483398437,0.004511999
3706.80737304688,0.020855064
3707.65991210938,0.043569997
3708.51489257812,-0.0027140996
3709.3681640625,-0.006333682
3710.22338867188,0.0041535613
3711.0771484375,0.020350369
3711.93286132812,0.013972469
3712.78662109375,-0.01007999
3713.64086914062,0.0070265676
3714.49731445312,0.010480246
3715.35180664062,0.014180261
3716.20849609375,0.009155184
3717.0634765625,0.01949203
3717.92041015625,0.03711194
3718.77587890625,-0.0020772063
3719.63134765625,-0.015024323
3720.48901367187,-0.0060246745
3721.34497070313,-0.008894228
3722.203125,-0.0023426441
3723.05932617187,0.019259531
3723.91796875,0.002557959
3724.77465820312,0.00451795
3725.63159179687,-0.00022649721
3726.49047851562,0.0010978113
3727.34790039063,0.009605767
3728.20727539062,0.004905311
3729.06494140625,-0.020216282
3729.92504882812,-0.0061575244
3730.78295898437,0.0015758212
3731.64135742187,-0.010015264
3732.50170898437,-0.017964646
3733.3603515625,0.00045347048
3734.22143554687,0.02735833
3735.08032226562,0.003896747
3735.94165039062,0.0020351782
3736.80126953125,0.004734014
3737.66088867188,0.00042682316
3738.52270507812,-0.005882081
3739.3828125,-0.019342026
3740.2451171875,-0.03217808
3741.10546875,0.0012715129
3741.96826171875,0.00047520362
3742.8291015625,-0.006755563
3743.68994140625,0.019009523
3744.55322265625,0.005017744
3745.41479492187,0.0010387094
3746.27856445312,0.0070115733
3747.14038085937,0.011577066
3748.00439453125,0.019137323
3748.86669921875,0.03184439
3749.72900390625,0.031407736
3750.59375,0.013724573
3751.45654296875,0.0029719656
3752.32153320312,0.022011457
3753.18481445312,0.038956128
3754.05029296875,0.027739197
3754.91381835937,0.025157023
3755.77978515625,0.02874086
3756.64379882812,0.02220824
3757.50805664063,0.013083131
3758.37451171875,0.014956865
3759.23901367188,0.017857866
3760.10595703125,-0.0023352623
3760.97094726562,0.017222216
3761.83813476562,0.04450155
3762.70361328125,0.040405612
3763.5693359375,0.04042099
3764.43701171875,0.06096475
3765.30322265625,0.04358241
3766.17138671875,0.081223875
3767.03784179687,0.044641186
3767.90649414062,0.0591483
3768.77319335937,0.11173333
3769.64013671875,0.13292758
3770.50952148437,0.18093695
3771.376953125,0.16521786
3772.24658203125,0.17392139
3773.11450195312,0.16726086
3773.984375,0.15671018
3774.85278320313,0.17390312
3775.72094726562,0.18465392
3776.591796875,0.21331681
3777.46044921875,0.2019466
3778.33154296875,0.22081116
3779.20092773437,0.24389341
3780.072265625,0.23654
3780.94189453125,0.26750147
3781.81176757812,0.2218707
3782.68383789062,0.18452612
3783.55395507812,0.22363044
3784.42651367187,0.27692536
3785.29711914062,0.27517742
3786.169921875,0.27294198
3787.041015625,0.27670443
3787.912109375,0.28466296
3788.78564453125,0.30288598
3789.6572265625,0.3247341
3790.53100585937,0.33030695
3791.40307617187,0.31174347
3792.27734375,0.31901503
3793.14990234375,0.3423714
3794.0224609375,0.32105064
3794.89721679687,0.28515896
3795.77026367187,0.27939728
3796.6455078125,0.2724406
3797.51904296875,0.3337973
3798.39477539062,0.3125791
3799.2685546875,0.28742748
3800.142578125,0.27704662
3801.01879882812,0.24641676
3801.89331054688,0.23172267
